"table","legacy_field","curated_field","curated_type","sentinel_rows","vocab_candidates","sentinel_no_vocab","already_in_known_issues","already_in_issue_report","already_self_documented","in_spreadsheet","spreadsheet_conflict"
"CA","Age","Age","number(quantity)",0,0,FALSE,TRUE,TRUE,TRUE,FALSE,NA
"CA","AgePrepMet","AgePreparationMethod","enum",5614282,1,FALSE,FALSE,TRUE,TRUE,TRUE,NA
"CA","AgeSource","AgeSource","enum",4757200,2,FALSE,TRUE,TRUE,TRUE,TRUE,NA
"CA","AreaCode","AreaCode","string",1891107,0,FALSE,FALSE,FALSE,TRUE,TRUE,NA
"CA","AreaType","AreaType","string",1968019,2,FALSE,FALSE,TRUE,TRUE,TRUE,NA
"CA","CANoAtLngt","NumberAtLength","number(quantity)",0,0,FALSE,FALSE,FALSE,FALSE,TRUE,NA
"CA","Country","Country","string",0,1,FALSE,TRUE,TRUE,FALSE,TRUE,NA
"CA","DateofCalculation","DateofCalculation","number(ordinal)",0,0,FALSE,FALSE,TRUE,TRUE,FALSE,NA
"CA","DoorType","DoorType","enum",1935016,2,FALSE,FALSE,TRUE,TRUE,TRUE,NA
"CA","FishID","FishID","string",4747074,0,FALSE,FALSE,FALSE,TRUE,TRUE,NA
"CA","Gear","Gear","enum",0,1,FALSE,TRUE,TRUE,FALSE,TRUE,NA
"CA","GearEx","GearExceptions","enum",3301002,1,FALSE,TRUE,TRUE,TRUE,TRUE,NA
"CA","GenSamp","GeneticSamplingFlag","enum",5021736,0,FALSE,FALSE,TRUE,TRUE,TRUE,NA
"CA","HaulNo","HaulNumber","number(ordinal)",0,0,FALSE,TRUE,TRUE,TRUE,TRUE,NA
"CA","IndWgt","IndividualWeight","number(quantity)",0,0,FALSE,FALSE,FALSE,FALSE,TRUE,NA
"CA","LngtClass","LengthClass","number(quantity)",0,0,FALSE,FALSE,FALSE,FALSE,TRUE,NA
"CA","LngtCode","LengthCode","enum",0,1,FALSE,FALSE,TRUE,TRUE,TRUE,NA
"CA","Maturity","IndividualMaturity","string",3100723,1,FALSE,FALSE,TRUE,TRUE,TRUE,NA
"CA","MaturityScale","MaturityScale","enum",4726713,3,FALSE,FALSE,TRUE,TRUE,TRUE,NA
"CA","OtGrading","OtolithGrading","enum",5546455,1,FALSE,FALSE,TRUE,TRUE,TRUE,NA
"CA","ParSamp","ParasiteSamplingFlag","enum",4948612,0,FALSE,FALSE,TRUE,TRUE,TRUE,NA
"CA","PlusGr","AgePlusGroup","enum",5860442,1,FALSE,FALSE,TRUE,TRUE,TRUE,NA
"CA","Quarter","Quarter","enum",0,2,FALSE,TRUE,TRUE,FALSE,TRUE,NA
"CA","RecordType","RecordHeader","enum",0,0,FALSE,FALSE,TRUE,FALSE,TRUE,NA
"CA","Sex","IndividualSex","enum",805354,2,FALSE,FALSE,TRUE,TRUE,TRUE,NA
"CA","Ship","Platform","string",0,1,FALSE,TRUE,TRUE,FALSE,TRUE,NA
"CA","SpecCode","SpeciesCode","number(id)",0,0,FALSE,FALSE,TRUE,FALSE,TRUE,"DataType: spreadsheet=char vs WSDL=int"
"CA","SpecCodeType","SpeciesCodeType","enum",0,1,FALSE,FALSE,TRUE,FALSE,TRUE,NA
"CA","StNo","StationName","string",480474,0,FALSE,TRUE,TRUE,TRUE,TRUE,NA
"CA","StomSamp","StomachSamplingFlag","enum",4861583,0,FALSE,FALSE,TRUE,TRUE,TRUE,NA
"CA","Survey","Survey","string",0,2,FALSE,TRUE,TRUE,FALSE,TRUE,NA
"CA","SweepLngt","SweepLength","number(quantity)",0,0,FALSE,FALSE,TRUE,FALSE,TRUE,NA
"CA","Valid_Aphia","Valid_Aphia","number(id)",0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA
"CA","Year","Year","number(ordinal)",0,1,FALSE,TRUE,TRUE,FALSE,TRUE,"DataType: spreadsheet=char vs WSDL=int"
"HH","BotCurDir","BottomCurrentDirection","number(quantity)",0,0,FALSE,FALSE,FALSE,FALSE,TRUE,NA
"HH","BotCurSpeed","BottomCurrentSpeed","number(quantity)",0,0,FALSE,FALSE,FALSE,FALSE,TRUE,NA
"HH","BotSal","BottomSalinity","number(quantity)",0,0,FALSE,FALSE,FALSE,FALSE,TRUE,NA
"HH","BotTemp","BottomTemperature","number(quantity)",0,0,FALSE,FALSE,FALSE,FALSE,TRUE,NA
"HH","Buoyancy","Buoyancy","number(quantity)",0,0,FALSE,FALSE,FALSE,FALSE,TRUE,NA
"HH","BySpecRecCode","BycatchSpeciesCode","enum",0,1,FALSE,FALSE,TRUE,FALSE,TRUE,NA
"HH","CodendMesh","CodendMesh","number(quantity)",0,0,FALSE,FALSE,FALSE,TRUE,TRUE,NA
"HH","Country","Country","string",0,1,FALSE,TRUE,TRUE,FALSE,TRUE,NA
"HH","DataType","DataType","enum",39,1,FALSE,FALSE,TRUE,TRUE,TRUE,NA
"HH","DateofCalculation","DateofCalculation","number(ordinal)",0,0,FALSE,FALSE,TRUE,TRUE,FALSE,NA
"HH","Day","Day","number(ordinal)",0,0,FALSE,FALSE,TRUE,FALSE,TRUE,NA
"HH","DayNight","DayNight","enum",0,1,FALSE,FALSE,TRUE,FALSE,TRUE,NA
"HH","Depth","BottomDepth","number(quantity)",0,0,FALSE,FALSE,TRUE,FALSE,TRUE,NA
"HH","DepthStratum","DepthStratum","string",74509,1,FALSE,FALSE,TRUE,TRUE,TRUE,NA
"HH","Distance","Distance","number(quantity)",0,0,FALSE,FALSE,FALSE,TRUE,TRUE,NA
"HH","DoorSpread","DoorSpread","number(quantity)",0,0,FALSE,FALSE,FALSE,TRUE,TRUE,NA
"HH","DoorSurface","DoorSurface","number(quantity)",0,0,FALSE,FALSE,FALSE,TRUE,TRUE,NA
"HH","DoorType","DoorType","enum",74790,2,FALSE,FALSE,TRUE,TRUE,TRUE,NA
"HH","DoorWgt","DoorWeight","number(quantity)",0,0,FALSE,FALSE,FALSE,TRUE,TRUE,NA
"HH","Gear","Gear","enum",0,1,FALSE,TRUE,TRUE,FALSE,TRUE,NA
"HH","GearEx","GearExceptions","enum",95514,1,FALSE,TRUE,TRUE,TRUE,TRUE,NA
"HH","GroundSpeed","SpeedGround","number(quantity)",0,0,FALSE,FALSE,FALSE,TRUE,TRUE,NA
"HH","HaulDur","HaulDuration","number(quantity)",0,0,FALSE,TRUE,TRUE,TRUE,TRUE,NA
"HH","HaulLat","HaulLatitude","number(quantity)",0,0,FALSE,FALSE,FALSE,FALSE,TRUE,NA
"HH","HaulLong","HaulLongitude","number(quantity)",0,0,FALSE,FALSE,FALSE,TRUE,TRUE,NA
"HH","HaulNo","HaulNumber","number(ordinal)",0,0,FALSE,TRUE,TRUE,TRUE,TRUE,NA
"HH","HaulVal","HaulValidity","enum",0,1,FALSE,FALSE,TRUE,FALSE,TRUE,NA
"HH","HydroStNo","HydrographicStationID","string",69762,0,FALSE,FALSE,FALSE,TRUE,TRUE,NA
"HH","KiteDim","KiteArea","number(quantity)",0,0,FALSE,FALSE,FALSE,FALSE,TRUE,NA
"HH","MaxTrawlDepth","MaxTrawlDepth","number(quantity)",0,0,FALSE,FALSE,FALSE,FALSE,TRUE,NA
"HH","MinTrawlDepth","MinTrawlDepth","number(quantity)",0,0,FALSE,FALSE,FALSE,FALSE,TRUE,NA
