"table","legacy_field","field_type","vocab_candidates_found","candidate_keys","ambiguous","value_check_applicable","data_fit"
"CA","Age","number(quantity)",0,"",FALSE,FALSE,"no_candidate"
"CA","AgePrepMet","enum",1,"TS_AgePrepMet",FALSE,TRUE,"partial"
"CA","AgeSource","enum",2,"TS_AgeSource|AC_AgeSource",TRUE,TRUE,"partial"
"CA","AreaCode","string",0,"",FALSE,FALSE,"no_candidate"
"CA","AreaType","string",2,"TS_AreaType|AreaType",TRUE,FALSE,"not_applicable"
"CA","CANoAtLngt","number(quantity)",0,"",FALSE,FALSE,"no_candidate"
"CA","Country","string",1,"TS_Country",FALSE,FALSE,"not_applicable"
"CA","DateofCalculation","number(ordinal)",0,"",FALSE,FALSE,"no_candidate"
"CA","DoorType","enum",2,"TS_DoorType|AC_DoorType",TRUE,TRUE,"full"
"CA","FishID","string",0,"",FALSE,FALSE,"no_candidate"
"CA","Gear","enum",1,"Gear",FALSE,TRUE,"full"
"CA","GearEx","enum",1,"TS_GearEx",FALSE,TRUE,"full"
"CA","GenSamp","enum",0,"",FALSE,FALSE,"no_candidate"
"CA","HaulNo","number(ordinal)",0,"",FALSE,FALSE,"no_candidate"
"CA","IndWgt","number(quantity)",0,"",FALSE,FALSE,"no_candidate"
"CA","LngtClass","number(quantity)",0,"",FALSE,FALSE,"no_candidate"
"CA","LngtCode","enum",1,"TS_LngtCode",FALSE,TRUE,"full"
"CA","Maturity","string",1,"TS_Maturity",FALSE,FALSE,"not_applicable"
"CA","MaturityScale","enum",3,"TS_MaturityScale|MaturityScale|AC_MaturityScale",TRUE,TRUE,"full"
"CA","OtGrading","enum",1,"TS_OtGrading",FALSE,TRUE,"full"
"CA","ParSamp","enum",0,"",FALSE,FALSE,"no_candidate"
"CA","PlusGr","enum",1,"TS_PlusGr",FALSE,TRUE,"full"
"CA","Quarter","enum",2,"TS_Quarter|Quarter",TRUE,TRUE,"full"
"CA","RecordType","enum",0,"",FALSE,FALSE,"no_candidate"
"CA","Sex","enum",2,"TS_Sex|AC_Sex",TRUE,TRUE,"full"
"CA","Ship","string",1,"TS_Ship",FALSE,FALSE,"not_applicable"
"CA","SpecCode","number(id)",0,"",FALSE,FALSE,"no_candidate"
"CA","SpecCodeType","enum",1,"TS_SpecCodeType",FALSE,TRUE,"full"
"CA","StNo","string",0,"",FALSE,FALSE,"no_candidate"
"CA","StomSamp","enum",0,"",FALSE,FALSE,"no_candidate"
"CA","Survey","string",2,"Survey|AC_Survey",TRUE,FALSE,"not_applicable"
"CA","SweepLngt","number(quantity)",0,"",FALSE,FALSE,"no_candidate"
"CA","Valid_Aphia","number(id)",0,"",FALSE,FALSE,"no_candidate"
"CA","Year","number(ordinal)",1,"Year",FALSE,FALSE,"not_applicable"
"HH","BotCurDir","number(quantity)",0,"",FALSE,FALSE,"no_candidate"
"HH","BotCurSpeed","number(quantity)",0,"",FALSE,FALSE,"no_candidate"
"HH","BotSal","number(quantity)",0,"",FALSE,FALSE,"no_candidate"
"HH","BotTemp","number(quantity)",0,"",FALSE,FALSE,"no_candidate"
"HH","Buoyancy","number(quantity)",0,"",FALSE,FALSE,"no_candidate"
"HH","BySpecRecCode","enum",1,"TS_BySpecRecCode",FALSE,TRUE,"full"
"HH","CodendMesh","number(quantity)",0,"",FALSE,FALSE,"no_candidate"
"HH","Country","string",1,"TS_Country",FALSE,FALSE,"not_applicable"
"HH","DataType","enum",1,"TS_DataType",FALSE,TRUE,"full"
"HH","DateofCalculation","number(ordinal)",0,"",FALSE,FALSE,"no_candidate"
"HH","Day","number(ordinal)",0,"",FALSE,FALSE,"no_candidate"
"HH","DayNight","enum",1,"TS_DayNight",FALSE,TRUE,"full"
"HH","Depth","number(quantity)",0,"",FALSE,FALSE,"no_candidate"
"HH","DepthStratum","string",1,"TS_DepthStratum",FALSE,FALSE,"not_applicable"
"HH","Distance","number(quantity)",0,"",FALSE,FALSE,"no_candidate"
"HH","DoorSpread","number(quantity)",0,"",FALSE,FALSE,"no_candidate"
"HH","DoorSurface","number(quantity)",0,"",FALSE,FALSE,"no_candidate"
"HH","DoorType","enum",2,"TS_DoorType|AC_DoorType",TRUE,TRUE,"full"
"HH","DoorWgt","number(quantity)",0,"",FALSE,FALSE,"no_candidate"
"HH","Gear","enum",1,"Gear",FALSE,TRUE,"full"
"HH","GearEx","enum",1,"TS_GearEx",FALSE,TRUE,"full"
"HH","GroundSpeed","number(quantity)",0,"",FALSE,FALSE,"no_candidate"
"HH","HaulDur","number(quantity)",0,"",FALSE,FALSE,"no_candidate"
"HH","HaulLat","number(quantity)",0,"",FALSE,FALSE,"no_candidate"
"HH","HaulLong","number(quantity)",0,"",FALSE,FALSE,"no_candidate"
"HH","HaulNo","number(ordinal)",0,"",FALSE,FALSE,"no_candidate"
"HH","HaulVal","enum",1,"TS_HaulVal",FALSE,TRUE,"full"
"HH","HydroStNo","string",0,"",FALSE,FALSE,"no_candidate"
"HH","KiteDim","number(quantity)",0,"",FALSE,FALSE,"no_candidate"
"HH","MaxTrawlDepth","number(quantity)",0,"",FALSE,FALSE,"no_candidate"
"HH","MinTrawlDepth","number(quantity)",0,"",FALSE,FALSE,"no_candidate"
"HH","Month","enum",2,"TS_Month|Month",TRUE,TRUE,"full"
"HH","Netopening","number(quantity)",0,"",FALSE,FALSE,"no_candidate"
"HH","PelSampType","enum",1,"TS_PelSampType",FALSE,TRUE,"full"
"HH","Quarter","enum",2,"TS_Quarter|Quarter",TRUE,TRUE,"full"
"HH","RecordType","enum",0,"",FALSE,FALSE,"no_candidate"
"HH","Rigging","enum",1,"TS_Rigging",FALSE,TRUE,"full"
"HH","SecchiDepth","number(quantity)",0,"",FALSE,FALSE,"no_candidate"
"HH","Ship","string",1,"TS_Ship",FALSE,FALSE,"not_applicable"
"HH","ShootLat","number(quantity)",0,"",FALSE,FALSE,"no_candidate"
"HH","ShootLong","number(quantity)",0,"",FALSE,FALSE,"no_candidate"
"HH","SpeedWater","number(quantity)",0,"",FALSE,FALSE,"no_candidate"
"HH","StNo","string",0,"",FALSE,FALSE,"no_candidate"
"HH","StatRec","string",1,"StatRec",FALSE,FALSE,"not_applicable"
