"Table","Field","Num_Codes_in_Spec","icesVocab_Key","Num_icesVocab_Codes","Ambiguous","Enrichment_Status"
"CA","AgePlusGroup",2,"AC_AgePlusGroup",1,FALSE,"icesVocab enriched (1 codes)"
"CA","AgePreparationMethod",7,"",0,FALSE,"Manual enum (no icesVocab match)"
"CA","AgeSource",5,"TS_AgeSource",5,TRUE,"icesVocab enriched (5 codes)"
"CA","DoorType",12,"TS_DoorType",12,TRUE,"icesVocab enriched (12 codes)"
"CA","Gear",99,"Gear",99,FALSE,"icesVocab enriched (99 codes)"
"CA","GearExceptions",13,"AC_GearExceptions",1,FALSE,"icesVocab enriched (1 codes)"
"CA","GeneticSamplingFlag",2,"",0,FALSE,"Manual enum (no icesVocab match)"
"CA","IndividualSex",7,"",0,FALSE,"Manual enum (no icesVocab match)"
"CA","LengthCode",7,"AC_LengthCode",3,FALSE,"icesVocab enriched (3 codes)"
"CA","MaturityScale",11,"TS_MaturityScale",11,TRUE,"icesVocab enriched (11 codes)"
"CA","OtolithGrading",5,"",0,FALSE,"Manual enum (no icesVocab match)"
"CA","ParasiteSamplingFlag",2,"",0,FALSE,"Manual enum (no icesVocab match)"
"CA","Quarter",4,"TS_Quarter",4,TRUE,"icesVocab enriched (4 codes)"
"CA","RecordHeader",1,"",0,FALSE,"Manual enum (no icesVocab match)"
"CA","SpeciesCodeType",2,"",0,FALSE,"Manual enum (no icesVocab match)"
"CA","StomachSamplingFlag",2,"",0,FALSE,"Manual enum (no icesVocab match)"
"HH","BycatchSpeciesCode",7,"",0,FALSE,"Manual enum (no icesVocab match)"
"HH","DataType",5,"TS_DataType",5,FALSE,"icesVocab enriched (5 codes)"
"HH","DayNight",2,"TS_DayNight",2,FALSE,"icesVocab enriched (2 codes)"
"HH","DoorType",12,"TS_DoorType",12,TRUE,"icesVocab enriched (12 codes)"
"HH","Gear",99,"Gear",99,FALSE,"icesVocab enriched (99 codes)"
"HH","GearExceptions",13,"AC_GearExceptions",1,FALSE,"icesVocab enriched (1 codes)"
"HH","HaulValidity",7,"AC_HaulValidity",2,FALSE,"icesVocab enriched (2 codes)"
"HH","Month",12,"TS_Month",12,TRUE,"icesVocab enriched (12 codes)"
"HH","PelagicSamplingType",4,"",0,FALSE,"Manual enum (no icesVocab match)"
"HH","Quarter",4,"TS_Quarter",4,TRUE,"icesVocab enriched (4 codes)"
"HH","RecordHeader",1,"",0,FALSE,"Manual enum (no icesVocab match)"
"HH","Rigging",15,"TS_Rigging",15,FALSE,"icesVocab enriched (15 codes)"
"HH","StandardSpeciesCode",5,"",0,FALSE,"Manual enum (no icesVocab match)"
"HH","ThermoCline",3,"TS_ThermoCline",3,FALSE,"icesVocab enriched (3 codes)"
"HL","DevelopmentStage",4,"",0,FALSE,"Manual enum (no icesVocab match)"
"HL","DoorType",12,"TS_DoorType",12,TRUE,"icesVocab enriched (12 codes)"
"HL","Gear",99,"Gear",99,FALSE,"icesVocab enriched (99 codes)"
"HL","GearExceptions",13,"AC_GearExceptions",1,FALSE,"icesVocab enriched (1 codes)"
"HL","LengthCode",7,"AC_LengthCode",3,FALSE,"icesVocab enriched (3 codes)"
"HL","LengthType",14,"",0,FALSE,"Manual enum (no icesVocab match)"
"HL","Quarter",4,"TS_Quarter",4,TRUE,"icesVocab enriched (4 codes)"
"HL","RecordHeader",1,"",0,FALSE,"Manual enum (no icesVocab match)"
"HL","SpeciesCodeType",2,"",0,FALSE,"Manual enum (no icesVocab match)"
"HL","SpeciesSex",7,"",0,FALSE,"Manual enum (no icesVocab match)"
"HL","SpeciesValidity",10,"AC_SpeciesValidity",2,FALSE,"icesVocab enriched (2 codes)"
"LT","DataType",5,"TS_DataType",5,FALSE,"icesVocab enriched (5 codes)"
"LT","DoorType",12,"TS_DoorType",12,TRUE,"icesVocab enriched (12 codes)"
"LT","Gear",99,"Gear",99,FALSE,"icesVocab enriched (99 codes)"
"LT","GearEx",13,"TS_GearEx",13,FALSE,"icesVocab enriched (13 codes)"
"LT","HaulValidity",7,"AC_HaulValidity",2,FALSE,"icesVocab enriched (2 codes)"
"LT","LTREF",12,"LTREF",12,FALSE,"icesVocab enriched (12 codes)"
"LT","LTSRC",17,"LTSRC",17,FALSE,"icesVocab enriched (17 codes)"
"LT","Month",12,"TS_Month",12,TRUE,"icesVocab enriched (12 codes)"
"LT","Quarter",4,"TS_Quarter",4,TRUE,"icesVocab enriched (4 codes)"
"LT","Rigging",15,"TS_Rigging",15,FALSE,"icesVocab enriched (15 codes)"
"LT","SwellHeight",6,"SwellHeight",6,FALSE,"icesVocab enriched (6 codes)"
