"table","field","legacy_field","resolution_basis","proposed_vocab_key","missing_from_vocab","unused_vocab_codes","data_fit"
"CA","AgePlusGroup","PlusGr","name-match","TS_PlusGr","","","full"
"CA","AgePreparationMethod","AgePrepMet","name-match","TS_AgePrepMet","","","full"
"CA","AgeSource","AgeSource","name-match","TS_AgeSource","","","full"
"CA","DoorType","DoorType","name-match","TS_DoorType","","","full"
"CA","Gear","Gear","name-match","Gear","","","full"
"CA","GearExceptions","GearEx","name-match","TS_GearEx","","","full"
"CA","GeneticSamplingFlag","GenSamp","no candidate",NA,NA,NA,"no_candidate"
"CA","IndividualSex","Sex","name-match","TS_Sex","","","full"
"CA","LengthCode","LngtCode","name-match","TS_LngtCode","","","full"
"CA","MaturityScale","MaturityScale","name-match","TS_MaturityScale","","","full"
"CA","OtolithGrading","OtGrading","name-match","TS_OtGrading","","","full"
"CA","ParasiteSamplingFlag","ParSamp","no candidate",NA,NA,NA,"no_candidate"
"CA","Quarter","Quarter","name-match","TS_Quarter","","","full"
"CA","RecordHeader","RecordType","no candidate",NA,NA,NA,"no_candidate"
"CA","SpeciesCodeType","SpecCodeType","name-match","TS_SpecCodeType","","","full"
"CA","StomachSamplingFlag","StomSamp","no candidate",NA,NA,NA,"no_candidate"
"HH","BycatchSpeciesCode","BySpecRecCode","name-match","TS_BySpecRecCode","","","full"
"HH","DataType","DataType","name-match","TS_DataType","","","full"
"HH","DayNight","DayNight","name-match","TS_DayNight","","","full"
"HH","DoorType","DoorType","name-match","TS_DoorType","","","full"
"HH","Gear","Gear","name-match","Gear","","","full"
"HH","GearExceptions","GearEx","name-match","TS_GearEx","","","full"
"HH","HaulValidity","HaulVal","name-match","TS_HaulVal","","","full"
"HH","Month","Month","name-match","TS_Month","","","full"
"HH","PelagicSamplingType","PelSampType","name-match","TS_PelSampType","","","full"
"HH","Quarter","Quarter","name-match","TS_Quarter","","","full"
"HH","RecordHeader","RecordType","no candidate",NA,NA,NA,"no_candidate"
"HH","Rigging","Rigging","name-match","TS_Rigging","","","full"
"HH","StandardSpeciesCode","StdSpecRecCode","name-match","TS_StdSpecRecCode","","","full"
"HH","ThermoCline","ThermoCline","name-match","TS_ThermoCline","","","full"
"HL","DevelopmentStage","DevStage","name-match","TS_DevStage","","","full"
"HL","DoorType","DoorType","name-match","TS_DoorType","","","full"
"HL","Gear","Gear","name-match","Gear","","","full"
"HL","GearExceptions","GearEx","name-match","TS_GearEx","","","full"
"HL","LengthCode","LngtCode","name-match","TS_LngtCode","","","full"
"HL","LengthType","LenMeasType","name-match","TS_LenMeasType","","","full"
"HL","Quarter","Quarter","name-match","TS_Quarter","","","full"
"HL","RecordHeader","RecordType","no candidate",NA,NA,NA,"no_candidate"
"HL","SpeciesCodeType","SpecCodeType","name-match","TS_SpecCodeType","","","full"
"HL","SpeciesSex","Sex","name-match","TS_Sex","","","full"
"HL","SpeciesValidity","SpecVal","name-match","TS_SpecVal","","","full"
"LT","DataType","DataType","name-match","TS_DataType","","","full"
"LT","DoorType","DoorType","name-match","TS_DoorType","","","full"
"LT","Gear","Gear","name-match","Gear","","","full"
"LT","GearExceptions","GearEx","name-match","TS_GearEx","","","full"
"LT","HaulValidity","HaulVal","name-match","TS_HaulVal","","","full"
"LT","LTREF","LTREF","name-match","LTREF","","","full"
"LT","LTSRC","LTSRC","name-match","LTSRC","","","full"
"LT","Month","Month","name-match","TS_Month","","","full"
"LT","Quarter","Quarter","name-match","TS_Quarter","","","full"
"LT","Rigging","Rigging","name-match","TS_Rigging","","","full"
"LT","SwellHeight","SwellHeight","name-match","SwellHeight","","","full"
